step,timestep,sigma_noise_coefficient,data_coefficient,delta,absolute_delta
1,1000.0,1.0,0.0,-0.021739125,0.021739125
2,978.26087474823,0.9782609,0.02173912525177002,-0.02587986,0.02587986
3,952.3810148239136,0.952381,0.047618985176086426,-0.03132838,0.03132838
4,921.0526347160339,0.92105263,0.07894736528396606,-0.038699746,0.038699746
5,882.352888584137,0.8823529,0.11764711141586304,-0.049019575,0.049019575
6,833.3333134651184,0.8333333,0.1666666865348816,-0.06410253,0.06410253
7,769.2307829856873,0.7692308,0.23076921701431274,-0.087412596,0.087412596
8,681.8181872367859,0.6818182,0.3181818127632141,-0.1262626,0.1262626
9,555.5555820465088,0.5555556,0.4444444179534912,-0.19841272,0.19841272
10,357.1428656578064,0.35714287,0.6428571343421936,-0.35714287,0.35714287
